text;lang;country
anybody else have #WorldCup2018 tix yet?  we got our confirmation email last week!  what cities in #Russia do you w… https://t.co/dLdBewefMZ;en;
Hope @NorthernIreland  can do it tonight in the #WorldCup2018 #Playoffs #DreamBigger #GAWA;en;United Kingdom
Good luck to Michael O'Neil and Northern Ireland. #WorldCup2018 #NorthernIreland #ulster;en;
"we have scored against Wales; Georgia; Austria; Moldova; Serbia; France; Italy; Sweden; Bosnia and Herzegovina; Pol… https://t.co/IdPuWcihXp";en;
#NorthernIreland and #Switzerland kickoff later today in the first leg of their #WC2018 playoff qualifier in Belfas… https://t.co/R5pF6f1C0l;en;
"We LOVE it!

#CROGRE #Russia2018 #CroatiaGreece #WorldCup2018 #NIRSWI 💚⚽️

https://t.co/PpLXQOkbWQ";en;
"@SkyFootball @ScottishFA @KNVB Both teams gearing up for the #WorldCup2018 

Oh wait.... 🙈";en;
Come on #gawa wee #norniron #swiss #toblerone team lets get to #worldcup2018 https://t.co/Ve0H1fQQRj;en;
"RT @Dailygoalsalert: Bristol Rovers v Swindon

Over 2.5 Match Goals 3/4 (SpBet) 

* WON *

* Another one bet One winner day *… ";en;
@theintercept WHY can't the A-RABS leave  Soccer to the SOCCANESE? #WorldCup2018 #QatarCrisis #heatstroke ^..^;en;
"""#Sweden play with less pressure now that they play without me."" @Ibra_official (116 caps - 62 goals). ⚽️🇸🇪 #PL… https://t.co/18prOgAiJt";en;
Don't miss these bookie offers for EXISTING customers available on tonight's games https://t.co/6IJZL3b5gT #NIRSUI #WorldCup2018;en;
RT @petetheprofit_: Don't miss these bookie offers for EXISTING customers available on tonight's games https://t.co/6IJZL3b5gT #NIRSUI #Wor…;en;
International soccer this weekend, we'll be sending out picks from the #WorldCup2018 playoffs this evening;en;
"""#Sweden without @Ibra_official is always an advantage. Even if he was 40 and with a broken legs, I wouldn't want t… https://t.co/EzaEXwyf2C";en;
"WORLD CUP 2018 I
@NorthernIreland host @SFV_ASF / #Switzerland &amp; @GelsonFernandes in a @FIFAWorldCup play-off tonig… https://t.co/mpscocPg0r";en;
"WORLD CUP 2018 II
Ante #Rebic has been called up to join @HNS_CFF / #Croatia for their play-off v @EthnikiOmada /… https://t.co/diqsUCZhR4";en;
#WorldCup2018 I'm hoping New Zealand win. No disrespect to Peru, I want to see d Haka performed prior the soccer ma… https://t.co/P0uQl8X3Lj;en;
Best of luck to #Croatia in tonight's #WorldCup2018 qualifying game against Greece! 🇭🇷⚽️❤️;en;
#ScotlandNetherlands live on #AtlantisIPTV #Scotland #Netherlands #KNVB #WorldCup2018 https://t.co/xG3tF4SIJP… https://t.co/3UTRiwkO4F;en;
Northern Ireland vs Switzerland and Croatia vs Greece today as the UEFA playoffs for the last few #WorldCup2018 spots begins! ⚽;en;
WATCH: croatia v greece world cup play offs #WorldCup2018 #Stream #soccer https://t.co/eLTbxjdFSS;en;
#SwedenItaly live on #AtlantisIPTV #Sweden #Italy #WorldCup2018 #WorldCup #Football #FIGC #Blågult #GliAzzurri #SvFF https://t.co/Wv8lvg5v0e;en;
Two #Fifa #WorldCup2018 European qualifiers will be played tonight. #Croatia 🇭🇷 vs #Greece 🇬🇷 and #NorthernIreland… https://t.co/63PVBzESbE;en;
"🔎Looking for some extra value on the World Cup Playoffs?
Check out our fantastic specials  👉… https://t.co/qEe2xgNJDW";en;
"Smash IT!

#CROGRE #Russia2018 #CroatiaGreece #WorldCup2018 #NIRSWI 💚⚽️

https://t.co/PpLXQOkbWQ";en;
LISTEN: The football #Postcast team have some lively outsiders for #WorldCup2018 and all the punting insight on the… https://t.co/cdlg5UEQQd;en;
RT @paddypower: LISTEN: The football #Postcast team have some lively outsiders for #WorldCup2018 and all the punting insight on the… ;en;
@offtheball @Pschmeichel1 @No1shaygiven @kdkilbane77 @FAIreland Just going through some of my dads old programs and… https://t.co/nciKBeyuP3;en;
#nirswi how's it going to be ?? 1-1 ? #WorldCup2018;en;
"Get ready.....

#WorldCup2018  #Russia2018 https://t.co/cJMZndNnQw";en;
"RT @BETDAQ: 🔎Looking for some extra value on the World Cup Playoffs?
Check out our fantastic specials  👉… ";en;
#WorldCup2018 #Qualifiers start today https://t.co/EgM5zez7NP;en;
"RT @RTEsoccer: ""If they are capable of beating the security, stay quiet and take off the green jersey"" https://t.co/l34QeC76D1 #DenVIre #Wo…";en;
"@Socceroos are gearing up for their clash against Honduras on Saturday morning AEST
#AUSHON #FIFA #WorldCup2018 

https://t.co/VMg3fxGmrU";en;
RT @Veron_mc: @offtheball @Pschmeichel1 @No1shaygiven @kdkilbane77 @FAIreland Just going through some of my dads old programs and… ;en;
new home shirt for #WorldCup2018 🏆🇩🇪 https://t.co/RShCgBBgE9;en;
3 hours left for the huge playoff game between #Greece and Croatia #WorldCup2018 #Hellas https://t.co/SWcs0EoWgZ;en;
"Soccer Roundup: Atlanta’s Julian Gressel voted MLS Rookie of the Year
 #MLS
 #WorldCup2018
 #SoccerNews
 #LaLiga… https://t.co/6OpdiWbIPJ";en;
Not long to go now! @NorthernIreland v @SFV_ASF #WorldCup2018 #GAWA https://t.co/GkDd8ioaxf;en;
Sending Best Wishes Up North To The @NorthernIreland Football Team Go Do A Job Tonight And Hopefully Come Next Week… https://t.co/DFc1GTjQsu;en;
The new #WorldCup2018 ball has been unveiled. What do you think of the #telstar https://t.co/J3kb3LfskT;en;
Did they forget to finish printing the ball? It'll grow on me with the pixels. #WorldCup2018 https://t.co/fFk6UcNy2U;en;
#spotify #SchweizerReneke #worldcup2018 oh my god https://t.co/vJwuVF2D6b;en;
"World Cup Playoff tonight for Northern Ireland.

Match Prediction
Northern Ireland 2 v 0 Switzerland #gawa #worldcup2018
#russiaherewecome";en;
RT @chippers1975: Good luck to the Swiss boys in tonight’s 1st leg playoff against Northern Ireland👍🇨🇭⚽️🏆. #Russia2018 #NIRSUI… ;en;
Who will advance to the #WorldCup2018 Sweden vs Italy. Place a bet #liveinplay @perhead #PayPerHead https://t.co/aVTyf5PHf9;en;
#sweater #Orkney #worldcup2018 oh my god https://t.co/ydINydjSWg;en;
"Let's go 🇬🇷 Cant have you and USA not in cup  #CROGRE
#WorldCup2018";en;
“The new panel structure and inclusion of an #NFC chip has taken #football #innovation and #design to a new level a… https://t.co/NeOS9FDgOy;en;
"A few months more.. ⚽️🏆 #worldcup2018 #telstar18 

📷: grabbed https://t.co/eimFFgohKz";en;
#spotify #Durban #worldcup2018 holy… https://t.co/xHzGAFB6TW;en;
"RT @HOMESofFOOTBALL: #InternationalBreaks
ENGLAND Vs Germany at old Wembley 1996 #euro96
by Stuart Roy Clarke
https://t.co/n3jRcGvmJB… ";en;
"RT @PhatzRadio: Soccer Roundup: Atlanta’s Julian Gressel voted MLS Rookie of the Year
 #MLS
 #WorldCup2018
 #SoccerNews
 #LaLiga… ";en;
RT @FootballNation: The new #WorldCup2018 ball has been unveiled. What do you think of the #telstar https://t.co/J3kb3LfskT;en;
2018 #WorldCup match ball unveiled #WorldCup2018 https://t.co/ERqDpPJN2f;en;
I'd say I'm disappointed with #WorldCup2018 Ball but anything after last WC's ball was gonna be a disappointment so… https://t.co/x19WZmD8Lm;en;
RT @coughetycough: Come on #gawa wee #norniron #swiss #toblerone team lets get to #worldcup2018 https://t.co/Ve0H1fQQRj;en;
"Adidas unveil official Russia 2018 World Cup ball: #Telstar18 ⚽

#WCQ #WC2018 #WorldCup2018 #Russia2018… https://t.co/F20qJ7lcwM";en;
"WELOVEGOALS!

#CROGRE #Russia2018 #CroatiaGreece #WorldCup2018 #NIRSWI 💚⚽️

https://t.co/PpLXQOkbWQ";en;
Best looking World Cup ball since the France 98 ball I reckon... https://t.co/3DJ7YzkFm0;en;
Beautiful #WorldCup2018 https://t.co/vDtqhvZMis;en;
Iconic 1970 World Cup match ball will return at next summer’s finals in Russia and it will have an embedded NFC chi… https://t.co/rLt1UoxwUE;en;
RT @HFCToronto: 3 hours left for the huge playoff game between #Greece and Croatia #WorldCup2018 #Hellas https://t.co/SWcs0EoWgZ;en;
I'm a huge fan. One of the more classic visual directions from recent competition balls, yet still features contemp… https://t.co/q4I5V4GN8H;en;
The official #WorldCup2018 match ball ⚽️. #Adidas #Telstar18. What do you think?  👍🏽 or 👎🏽 https://t.co/MHmzU5tEgi;en;
Sooooo pumped for the match the begin... hoping we can do this!! COME ON #GAWA #Daretodream #WorldCup2018;en;
Here's every World Cup ball Adidas have produced - where does #Telstar18 fit into history? #WorldCup2018 https://t.co/bY1AwnocRk;en;
RT @Foot8all_banter: England take on Germany tomorrow, we're asking you, how many English players would make the German WC squad? Let us… ;en;
In the presence of greatness leomessi 🙇 #adidas #Worldcup2018 #Messi #HereToCreate @ Moscow, Russia https://t.co/2MGiMLhcrU;en;
LISTEN: The football #Postcast team have some lively outsiders for #WorldCup2018 and all the punting insight on the… https://t.co/7f6gYXMz9v;en;
Good luck to @NorthernIreland in their #WorldCup2018 qualifying match against Switzerland tonight. #NIRSUI https://t.co/KRMNC5K1kg;en;
"New #WorldCup2018 official matchball 💩 or 🔥?
#Adidas #Telstar https://t.co/ppR5vr23jf";en;
"The boys take a look at the final #WorldCup2018 qualifiers and make picks for all the big ties.

https://t.co/hPFQwZPixu";en;
70% Croatia - Hellas 30% #WorldCup2018 #CROGRE;en;
".@NorthernIreland #PaddyMcNair reveals secret of their success as they prepare for #Swiss #WorldCup2018 Play-Off; j… https://t.co/VJJBoj1BFD";en;
Maybe it's the hours of time spent kicking in, but all I'm seeing is that they've pasted chunks from Minecraft onto… https://t.co/lv0bFZqVkp;en;
Good luck @NorthernIreland tonight! #WorldCup2018 ⚽️🏆;en;
Best of luck to #Croatia🇭🇷 tonight. But the BIG one is tomorrow with Italy 🇮🇹#WorldCup2018;en;
The boys take a look at the final #WorldCup2018 qualifiers and make picks for all the big ties. ▶️ https://t.co/63dhTy12em;en;
Ok ! Call up Balotelli !!!! https://t.co/eY3DGyOGMF;en;
"Why @ussoccer fails with #WorldCup &amp; #WorldCupQualifiers. A lesson in markets &amp; culture. https://t.co/Xu0teN76t8 #tcot #WorldCup2018 #futbol";en;
Interesting day freelancing on the @guardian_sport video desk. Put this together on #Southgate's # England press co… https://t.co/qGWCD9kqeC;en;
"#Football on TV tonight  2/3

#Croatia v #Greece
FIFA #WorldCup2018 Play-Off 1st Leg
19:45
Sky Sports Mix";en;
Buy it now... Clasico T-shirt with Tango https://t.co/pyl3iSMsSC #Tango #WorldCup2018 #80s #70s #casuals #iwantone… https://t.co/TrAEm3qmI9;en;
RT @PaulDavison180: Sending Best Wishes Up North To The @NorthernIreland Football Team Go Do A Job Tonight And Hopefully Come Next Week… ;en;
"Interested to know your thoughts and opinions:

What is England's best starting XI when all are fit?… https://t.co/5QMH5MCYet";en;
"Check out our Northern Ireland vs Switzerland #bettingtips for tonight!

➡️ https://t.co/cgnVmH9y6a

#NIRSUI #WorldCup #WorldCup2018 ⚽🏆";en;
"Eredivisie Free Football Betting Tips

#CROGRE #Russia2018 #CroatiaGreece #WorldCup2018 #NIRSWI 💚⚽️

https://t.co/PpLXQOkbWQ";en;
Game day Greece vs Croatia 1stleg #WorldCup2018;en;Canada
RT @Visit__Croatia: Best of luck to #Croatia in tonight's #WorldCup2018 qualifying game against Greece! 🇭🇷⚽️❤️;en;
This is the new ball for Russia World Cup 2018 🔥⚽️ #worldcup2018 #russia2018 #telstar18 @… https://t.co/dUvYWbb4QT;en;
"Sweden vs Italy tomorrow in a #WorldCup qualifying play-off!

➡️ https://t.co/8aKf4I6Zru

#SWEITA #WorldCup2018 ⚽🏆";en;
"Sweden vs Italy tomorrow in a #WorldCup qualifying play-off!

➡️ https://t.co/E13wm9GjZe

#SWEITA #WorldCup2018 ⚽🏆";en;
"Sweden vs Italy tomorrow in a #WorldCup qualifying play-off!

➡️ https://t.co/K3V78QweiI

#SWEITA #WorldCup2018 ⚽🏆";en;
#NorthernIreland host #Switzerland tonight in the World Cup playoff first leg. Who will win? @IFAFootballDev… https://t.co/tsr89NQF0R;en;
RT @KoolPoll123: Who is winning #Greece v. #Croatia? #GRECRO #CROGRE #CroatiaGreece #FIFA #UEFA #WCQ #WCQ2018 #WorldCupQualifiers… ;en;
RT @KoolPoll123: Who is winning #NorthernIreland v. #Switzerland? #NIRSUI #SUINIR #NIR #FIFA #UEFA #WCQ #WCQ2018 #WorldCupQualifiers… ;en;
Sports Management with a Difference https://t.co/kQxqNk2JE1 #dbsports #WorldCup2018 #Play-Off #NorthernIreland #Swiss #Football;en;
Supporting Switzerland tonight #WorldCup2018;en;
Both @YannSommer1 and @Denis_zak20 start for Switzerland in their #WorldCup2018 play-off match against Northern Ire… https://t.co/DpXnVX5tpx;en;
#NorthernIreland v #Switzerland. Nearly time for a #GAWA frenzy. #NIRSUI #WCQ #WorldCup2018 https://t.co/KGG15ioaMZ;en;
@NorthernIreland my 8 week old daughter getting in the mood......... #WorldCup2018 #playoffs #DareToDream #GAWA https://t.co/5UGYFRIoA1;en;
"#bettingtips tips for England's meaningless friendly against Germany  https://t.co/1k6lgxFnnw
 #bettingbetter… https://t.co/P4bDwyS7JQ";en;
I hope Michael's top 11 are a lot less nervous at Windsor tonight than I am watching #gulp! #GAWA #WorldCup2018 MON NORN IRON!;en;
