text;lang;country
Une pensée amicale pour @thomasperotto ce soir. #SWEITA #WorldCup2018 pour la beauté de l'événement, l'Italie se doit de se qualifier!!!;fr;
RT @jp_sugarshay: Bravo au Sénégal. Direction la Russie en chanson 😁 🇸🇳 🇷🇺 #WorldCup2018 #RSASEN  SEFYU - Senegalo Ruskov https://t.co/IXKb…;fr;
Oh non. Devinez qui a pris un jaune de trop et ne pourra donc pas jouer le match de barrage qualificatif retour con… https://t.co/XNsimWXNJj;fr;
#Senegal #football #WorldCup2018 #FIFA18 bravo les #Lions de la #teranga #lesenegalavance destination #moscou insha… https://t.co/6OYF63VrhG;fr;
Félicitations á toute l’équipe pour cette historique qualification. Russie nous voilà. Fièr de vous les gars… https://t.co/Lv0bMVGNX4;fr;
Sénégal 🇸🇳 ca Kanam. Bravo à Aliou Cissé. #Senegal road to #Russia2018 #WorldCup2018 https://t.co/sAM7Vjxns7;fr;
@AbdoulayeWade_ n'a pas eu la change de voir l'équipe du #Senegal qualifiée en #WorldCup2018 à #Dakar. @Macky_Sall… https://t.co/hbR4CqkogR;fr;Senegal
Un Grand Merci aux #Lions du #Senegal ! #Russia2018 #Russia2018WorldCup #football #WorldCup2018 #Africa https://t.co/UrqNTO2JIq;fr;
Énormément de réussite pour la #Suède avec cette frappe déviée... #SveziaItalia 1-0 #WorldCup2018 #ForzaAzzuri 🇮🇹 https://t.co/FFnVIYzEMC;fr;
RT @calciomio: Énormément de réussite pour la #Suède avec cette frappe déviée... #SveziaItalia 1-0 #WorldCup2018 #ForzaAzzuri 🇮🇹 https://t.…;fr;
@CFootRTBF @RTBFsport Toujours ce même problème défensif 🤨 Ça va être dur à la #WorldCup2018 😓 #BELMEX #RoadToRussia;fr;
RT @QuentinCauchie: @CFootRTBF @RTBFsport Toujours ce même problème défensif 🤨 Ça va être dur à la #WorldCup2018 😓 #BELMEX #RoadToRussia;fr;
@flogazan Et maintenant le poteau qui sauve la #Suède. Un signe pour #WorldCup2018 ?;fr;
Anw j'ai compris pourquoi j'entends @flonot Floriana depuis chez moi 1-0 Suède... https://t.co/4qf22cV7a5;fr;
On parlera demain soir à partir de 20h sur @infosportplus  #FRAPDG suivi de la soirée de qualification pour la… https://t.co/SYRUSCSJ8n;fr;
RT @marclibbra: On parlera demain soir à partir de 20h sur @infosportplus  #FRAPDG suivi de la soirée de qualification pour la… ;fr;
Le Sénégal, qualifié pour le Mondial 2018 #Senegal #WorldCup2018 #Lion;fr;
Le Sénégal, qualifié pour le Mondial 2018 !!! 🔥🎉😘 🦁# Senegal #WorldCup2018 #Lion;fr;
Le #Telstar ballon officiel de #WorldCup2018 #coupedumonde2018. Il ne remplace mon préféré le #Tango1978 https://t.co/F7BP6ZD93J;fr;France
Défaite de l'Italie 1-0 en Suède, les #Azzurri 🇮🇹 au bord du gouffre. #WorldCup2018 ⚽️Ça va se décider mardi à Milan.😖;fr;Canada
Bref, va falloir que Vertonghen soit en forme, que Vermaelen ne se blesse plus et qu’Alderweireld et Kompany revien… https://t.co/1yQHx5NjUl;fr;
Bon courage au @Socceroos VIVA AUSTRALIA !!!! je vous soutiens depuis la France 😉💪👍🇫🇷 🇦🇺#HONvAUS #RoadToRussia… https://t.co/EwsPaACbqz;fr;
Naaaaannn @kkoulibaly26 bonbon du Nutella 😂😂😂😂 direction la Russie 🇷🇺🇷🇺 #WorldCup2018 #teamsenegal #Senegal félicitations mon gars !!! 💪💪;fr;
"🇸🇪 Suède 1 -0 Italie  🇮🇹 
L’Italie devra absolument gagner lundi sinon pas de coupe du monde ! #WorldCup2018";fr;
RT @papadiouf27: Félicitations á toute l’équipe pour cette historique qualification. Russie nous voilà. Fièr de vous les gars… ;fr;
"Didier, 

Fais-moi jouer l’EDF de la sorte s’il te plaît et emmène ce groupe  de 23 (Pavard ?) pour la Coupe du Mon… https://t.co/RL1vIaI6CI";fr;France
"Et tu, Italy? 
#WorldCup2018 https://t.co/WwcOpby1oW";fr;
"RT @charly_robin: Didier, 

Fais-moi jouer l’EDF de la sorte s’il te plaît et emmène ce groupe  de 23 (Pavard ?) pour la Coupe du Mon… ";fr;
Mdrrr jai jamais vu le sang aussi heureux d'aller taffer 😂💉😍🙏🏽 #Senegal 🇸🇳🇸🇳 #RSASEN  #senegal2018 #worldcup2018 https://t.co/3b4MVbI8xb;fr;
RT @JeremyFilosa: Défaite de l'Italie 1-0 en Suède, les #Azzurri 🇮🇹 au bord du gouffre. #WorldCup2018 ⚽️Ça va se décider mardi à Milan.😖;fr;
Mdrrr j'ai jms vu le sang aussi heureux d'aller taffer 😂💉🇸🇳😍🙏🏽 #senegal #RSASEN #senegal2018 #worldcup2018 https://t.co/DVnMcUrgxo;fr;
One, Two, Three, Ils n'iront pas en Russie ! :p #CoupeduMonde2018 #WorldCup2018 #Algerie;fr;
Pour cette #WorldCup2018 c'est simple : Je supporte la France puis si elle est éliminée, la Corée et si elle est él… https://t.co/ihMhnqErnq;fr;
Nous allons y arriver par la grâce de Dieu https://t.co/SKUatQTSb8;fr;
Grizi-Mbappé ca marchait du feu de dieu ce soir ! On est sur la bonne voie. #RoadToRussia #WorldCup2018 #TeamFrance;fr;
Je suis fatiguée de cette femme #SachezLe https://t.co/0aRupBu64T;fr;
RT @choconono12: Je suis fatiguée de cette femme #SachezLe https://t.co/0aRupBu64T;fr;
RT @Lavidaloca242: Mdrrr j'ai jms vu le sang aussi heureux d'aller taffer 😂💉🇸🇳😍🙏🏽 #senegal #RSASEN #senegal2018 #worldcup2018 https://t.co/…;fr;
